pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
sol 0x           gain=   69.7 monster  t5=07-06 00:31 nD=100 cov=0.71 why=
sol ACM          gain=   69.5 skip     t5=07-05 06:56 nD=- cov=- why=window outside tape
sol 0x           gain=   68.6 monster  t5=07-06 14:12 nD=60 cov=0.37 why=
sol COBRA        gain=   68.6 monster  t5=07-05 03:50 nD=89 cov=0.63 why=
sol ACM          gain=   68.6 monster  t5=07-05 07:11 nD=99 cov=0.15 why=
sol BullWorld    gain=   68.0 monster  t5=07-05 16:01 nD=101 cov=0.98 why=
sol ELIZABETH    gain=   67.4 monster  t5=07-05 06:58 nD=51 cov=1.0 why=
rob ROBINHOOD    gain=   67.3 monster  t5=07-10 09:11 nD=951 cov=1.61 why=
rob ROBINHULK    gain=   67.3 skip     t5=07-10 09:16 nD=- cov=- why=window outside tape
sol 0x           gain=   67.2 monster  t5=07-05 19:19 nD=97 cov=0.13 why=
rob THROBBIN     gain=   67.0 skip     t5=07-10 20:38 nD=- cov=- why=window outside tape
sol 公牛           gain=   66.4 monster  t5=07-06 05:37 nD=0 cov=- why=
sol SEMAN        gain=   66.0 monster  t5=07-05 15:30 nD=93 cov=0.69 why=
rob CASHCOW      gain=   65.8 monster  t5=07-10 20:33 nD=15 cov=0.05 why=
sol frog         gain=   65.3 monster  t5=07-05 16:57 nD=100 cov=0.28 why=
rob ROBINHULK    gain=   65.2 skip     t5=07-10 09:20 nD=- cov=- why=window outside tape
sol LojakPaul    gain=   65.0 monster  t5=07-04 07:57 nD=0 cov=- why=
sol SEMAN        gain=   64.6 monster  t5=07-04 08:16 nD=0 cov=- why=
rob SNAT         gain=   64.5 monster  t5=07-10 20:08 nD=26 cov=0.15 why=
sol BLACKOUT     gain=   64.5 monster  t5=07-06 13:41 nD=87 cov=0.44 why=
sol ANSUM        gain=   64.0 monster  t5=07-04 21:47 nD=0 cov=- why=
sol 0x           gain=   63.7 monster  t5=07-06 13:01 nD=0 cov=- why=
rob HOODBOY      gain=   63.6 monster  t5=07-10 20:39 nD=30 cov=0.1 why=
rob ROBINHULK    gain=   63.2 skip     t5=07-10 09:18 nD=- cov=- why=window outside tape
sol TOLY         gain=   62.7 monster  t5=07-05 17:56 nD=99 cov=0.72 why=
rob BILLY        gain=   62.5 skip     t5=07-10 16:26 nD=- cov=- why=window outside tape
sol LojakPaul    gain=   62.3 monster  t5=07-04 00:42 nD=100 cov=0.23 why=
sol SEMAN        gain=   62.0 monster  t5=07-05 14:54 nD=62 cov=1.0 why=
sol 公牛           gain=   61.9 monster  t5=07-06 04:45 nD=0 cov=- why=
sol 0x           gain=   61.8 monster  t5=07-06 07:09 nD=0 cov=- why=
sol BLACKOUT     gain=   61.7 monster  t5=07-06 10:08 nD=0 cov=- why=
sol BABYANSEM    gain=   60.7 monster  t5=07-05 04:27 nD=0 cov=- why=
sol frog         gain=   60.7 monster  t5=07-05 18:42 nD=99 cov=0.53 why=
sol BABYANSEM    gain=   60.3 monster  t5=07-03 21:41 nD=65 cov=0.08 why=
rob ilysm        gain=   59.7 skip     t5=07-10 09:07 nD=- cov=- why=window outside tape
rob THROBBIN     gain=   59.4 monster  t5=07-10 19:45 nD=5 cov=- why=
sol 公牛           gain=   59.4 monster  t5=07-06 03:57 nD=100 cov=0.21 why=
sol TOLY         gain=   59.2 monster  t5=07-06 02:49 nD=0 cov=- why=
sol SEMAN        gain=   57.2 monster  t5=07-05 04:29 nD=114 cov=0.79 why=
sol 0x           gain=   57.1 monster  t5=07-05 22:35 nD=100 cov=0.36 why=
rob CASHCOW      gain=   56.8 monster  t5=07-10 20:40 nD=16 cov=0.02 why=
sol BABYANSEM    gain=   56.6 monster  t5=07-05 22:53 nD=0 cov=- why=
sol SEMAN        gain=   56.4 monster  t5=07-04 20:41 nD=0 cov=- why=
sol ACM          gain=   56.3 monster  t5=07-05 15:00 nD=133 cov=0.69 why=
sol LojakPaul    gain=   55.4 monster  t5=07-03 19:56 nD=39 cov=0.1 why=
sol SEMAN        gain=   55.1 monster  t5=07-03 15:27 nD=34 cov=0.08 why=
sol LojakPaul    gain=   55.0 monster  t5=07-04 05:25 nD=0 cov=- why=
sol COBRA        gain=   54.6 monster  t5=07-05 12:59 nD=98 cov=0.09 why=
sol 公牛           gain=   54.6 monster  t5=07-05 22:26 nD=100 cov=0.08 why=
sol SEMAN        gain=   54.2 monster  t5=07-05 19:24 nD=65 cov=1.0 why=
sol frog         gain=   54.2 monster  t5=07-05 15:25 nD=89 cov=0.51 why=
sol 0x           gain=   53.7 monster  t5=07-05 21:41 nD=100 cov=0.38 why=
sol COBRA        gain=   53.6 monster  t5=07-06 14:48 nD=67 cov=0.21 why=
rob RANGER       gain=   53.4 monster  t5=07-10 18:38 nD=13 cov=0.04 why=
sol BLACKOUT     gain=   53.2 monster  t5=07-05 16:03 nD=100 cov=0.47 why=
sol COBRA        gain=   52.9 monster  t5=07-05 15:48 nD=0 cov=- why=
sol ACM          gain=   52.8 monster  t5=07-05 07:55 nD=98 cov=0.13 why=
sol 公牛           gain=   52.6 monster  t5=07-06 02:17 nD=100 cov=0.03 why=
sol frog         gain=   52.6 monster  t5=07-05 16:28 nD=98 cov=0.36 why=
sol SEMAN        gain=   52.4 monster  t5=07-03 21:18 nD=44 cov=0.08 why=
sol Bullmerica25 gain=   52.1 monster  t5=07-05 15:59 nD=11 cov=1.0 why=
sol frog         gain=   52.0 monster  t5=07-05 14:56 nD=99 cov=0.29 why=
sol LojakPaul    gain=   51.7 monster  t5=07-04 04:19 nD=100 cov=0.18 why=
sol ACM          gain=   51.5 monster  t5=07-05 11:06 nD=68 cov=0.19 why=
rob BILLY        gain=   51.4 skip     t5=07-10 16:30 nD=- cov=- why=window outside tape
sol BLACKOUT     gain=   51.3 monster  t5=07-05 20:15 nD=80 cov=0.22 why=
sol SEMAN        gain=   50.8 monster  t5=07-04 07:43 nD=0 cov=- why=
